,Long,Lat,Code,Campground,Type,City,State
,42.575,-95.731,RANN,Ranney Knob Area,CP,Washta,IA
,40.998,-93.28,REDH,Red Haw State Park,SP,Chariton,IA
,42.254,-93.19,REEC,Reece Park,CP,Union,IA
,42.438,-95.149,REIF,Reiff Park,CP,Early,IA
,42.087,-94.628,RICH,Richey Campground,CP,Glidden,IA
,41.491,-91.502,RIVJ,River Junction Access,CP,Lone Tree,IA
,43.213,-96.311,RIVB,Rivers Bend,CP,Rock Valley,IA
,43.436,-92.777,RICP,Riverside Co Park,CP,Stacyville,IA
,41.877,-94.669,RICR,Riverside Park - Coon Rapids,CP,Coon Rapids,IA
,42.468,-93.813,RIVS,Riverside Park - Webster City,CP,Webster City,IA
,41.852,-90.185,RIVC,Riverview City Park - Clinton,CP,Clinton,IA
,42.064,-92.902,RIVV,Riverview Park - Marshalltown,CP,Marshalltown,IA
,42.47,-92.664,ROAD,Roadman Roadside Park,CP,Dike,IA
,41.426,-93.042,ROBE,Roberts Creek Park,CP,Pella,IA
,41.507,-92.645,ROBT,Robertson Access,CP,New Sharon,IA
,43.399,-95.736,ROBI,Robinson Park,CP,Sibley,IA
,41.75,-90.328,ROCM,Rock Creek County Marina and Campground,CP,Camanche,IA
,41.761,-92.837,ROCK,Rock Creek State Park,SP,Kellogg,IA
,42.4,-94.634,ROCK,Rockwell City RV Park,CP,Rockwell City,IA
,42.196,-92.083,RODG,Rodgers County Park,CP,Vinton,IA
,40.849,-92.981,ROLL,Rolling Cove - Rathbun Lake,COE,Centerville,IA
,41.732,-95.327,ROSM,Rosman Glendale Farm Rec Area,CP,Harlan,IA
,40.609,-94.964,ROSS,Ross County Park,CP,Braddyville,IA
,40.914,-91.81,ROUN,Round Prairie Park,CP,Fairfield,IA
,43.127,-92.894,RUDD,Rudd Eastside Park,CP,Rudd,IA
,42.419,-94.985,SACC,Sac City Park,CP,Sac Cityt,IA
,40.629,-94.497,SAND,Sands Timber Rec Area,CP,Blockton,IA
